depth,upper_age,lower_age,Acalypha,Cecropia,Alchornea,Urticaceae,Quercus,Podocarpus,Hediosmum,Weinmannia,Melastomataceae,Vallea,Eugenia,Ilex,Daphnopsis,Drimys,Gaiadendron,Juglans,Myrsine,Myrtaceae,Styloceras,Symplocos,Dodoneae,Myrica,Alnus,Asteraceae tub.,Asteraceae lig.,Aceana/Polylepis,Ericaceae,Hypericum,Poaceae,Aragoa,Geranium,Valeriana,Gentiana,Plantago,Lycopodium foveolaat,Cyperaceae,Polygonum,Potamogeton,Puya,Ranunculaceae,Rumex,Satureja,Thalictrum,Typha,Hydrocotyle,Myriophyllum,Isoetes,Althenanthera,Amphistrema,Anacardiaceae,Antidaphne,Apiaceae,Araliaceae,Bombacaceae,Boraginaceae,Borreria,Bromeliaceae,Cactaceae,Calandrinia,Caryophyllaceae,Chenopodiaceae,Clethra,Clusia,Croton bogotensis,Cruciferae,Euphorbiaceae,Eriocaulaceae,Flacourtiaceae,Gunnera,Hieronima,Labiaat,Lachemilla,Leguminoseae,Loranthaceae,Lupinus,Lysipomia,Malphigiaceae,Malvaceae,Mimosaceae,Onagraceae,Palmae,Passiflora,Polygalaceae,Portulaceae,Proteaceae,Relbunium,Rosaceae,Rubiaceae,Salix,Sapium,Solanaceae,Tournefourtia-type,Viburnum,Cyatheaceae,Elaphoglossum,Hemitalia,Anthoceras,Hymnophyllum myriocarpum type,Jamesonia,Lycopodium reticulate,Lycopodium curvatum,Lophosoria,Monoleet psilaat,Monoleet verucate,Ophioglossum,Phaeceros,Pilularia,Selaginella,Sphagnum,Triletes,Fungi,Botryococcus,Pediastrum,Zygnemataceae,Lycopodia,volume,Tablets,Lycopadia/tablet,influxfactor,
30,-235.1,-118.9,3,0,12,4,40,0,5,1,1,0,1,0,0,0,0,0,7,0,0,0,0,7,32,83,0,0,0,1,124,0,0,0,0,0,0,132,8,5,0,0,35,90,0,0,30,3,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,2,0,1,1,0,0,1,0,0,0,0,0,21,1,0,0,0,0,0,0,191,114,15,0,33,2.5,2,13911,337.24,
35,-118.9,-6.8,5,0,2,8,23,0,5,1,3,0,0,0,0,0,0,0,2,0,0,0,0,1,21,74,0,0,0,0,110,0,0,0,0,0,0,77,4,3,0,0,14,35,0,0,15,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,215,213,17,0,37,3.0,2,13911,250.65,
40,-6.8,105.8,0,0,5,8,51,0,4,1,5,0,0,0,0,0,0,1,6,0,1,0,0,0,24,66,0,2,0,1,131,0,0,0,0,0,0,110,15,3,0,0,16,73,0,0,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,10,0,0,2,0,0,0,0,0,11,1,0,0,0,1,0,0,182,206,20,0,171,1.5,2,13911,108.47,
45,105.8,883.6,0,0,2,5,40,1,8,2,2,0,0,0,0,0,0,1,3,0,0,0,0,4,22,55,0,0,0,0,83,0,0,0,0,0,0,73,6,0,0,0,10,63,0,1,27,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,2,0,0,0,0,0,0,0,0,12,1,0,0,0,1,0,0,94,78,3,0,23,2.0,2,13911,604.83,
80,883.6,995.7,1,0,1,12,39,0,7,1,0,0,0,0,0,0,1,0,4,0,0,0,0,2,12,28,0,0,0,0,35,0,0,1,0,0,0,154,2,2,0,0,0,5,0,0,73,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1244,26,6,0,200,2.0,2,13911,69.56,
85,995.7,5363.8,3,0,5,21,72,0,4,0,3,0,0,0,0,0,0,0,2,0,0,0,1,1,21,57,0,0,0,0,127,0,0,1,0,0,0,142,5,1,0,0,1,26,0,0,61,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,2,0,0,0,0,0,24,1,0,0,0,0,0,0,584,564,8,0,475,2.0,2,13911,29.29,
280,5363.8,5475.3,0,0,4,16,134,6,8,1,5,0,0,0,0,0,0,0,2,0,2,0,1,3,48,70,0,0,0,0,44,0,0,0,0,0,0,76,4,7,0,0,2,9,0,15,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,56,107,138,0,181,1.5,2,13911,102.48,
285,5475.3,5582.9,0,0,1,12,60,3,7,0,5,0,0,0,1,0,0,2,1,0,0,0,0,1,26,56,0,0,0,0,24,0,0,0,0,0,0,66,1,7,0,0,3,6,0,6,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,3,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,58,103,111,0,172,1.5,2,13911,107.84,
290,5582.9,5694.7,0,0,0,17,77,1,6,1,5,0,0,0,0,0,0,1,1,0,0,0,0,1,28,111,0,0,0,0,31,0,0,0,0,0,0,30,3,3,0,0,1,4,0,5,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,137,99,67,0,234,1.5,2,13911,79.26,
295,5694.7,5803.9,0,0,0,11,125,2,6,0,4,0,0,0,0,0,0,3,0,0,0,0,0,4,48,75,0,1,0,0,42,0,0,0,0,0,0,33,2,2,0,0,5,3,0,5,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,73,244,134,0,268,1.8,2,13911,57.67,
