depth,upper_age,lower_age,% TIC,wt %N,wt %C,wt %TOC,TC/TN,"d13C (permil, vs VPDB)"
167,27100.22,27318.08,0.00,0.60,5.90,5.90,9.83,-20.98
172,27318.08,27535.95,0.00,0.54,5.24,5.24,9.70,-21.48
177,27535.95,27753.81,0.00,0.52,4.87,4.87,9.37,-21.52
182,27753.81,27971.68,0.00,0.72,7.76,7.76,10.78,-19.90
187,27971.68,28189.54,0.00,0.44,4.24,4.24,9.64,-20.51
192,28189.54,28407.41,0.00,0.74,8.37,8.37,11.31,-19.10
197,28407.41,29932.46,0.00,0.75,8.45,8.45,11.27,-19.01
232,29932.46,30150.33,0.00,0.83,9.70,9.70,11.69,-19.20
237,30150.33,30368.19,0.00,0.87,10.22,10.22,11.75,-19.75
242,30368.19,30586.06,0.00,0.68,7.56,7.56,11.12,-21.37
247,30586.06,30803.92,0.00,0.53,5.69,5.69,10.74,-22.77
252,30803.92,31021.79,0.00,0.47,4.84,4.84,10.30,-22.48
257,31021.79,31239.65,0.00,0.27,2.69,2.69,9.96,-22.71
262,31239.65,31457.52,0.00,0.52,5.24,5.24,10.08,-22.82
267,31457.52,31675.38,0.00,0.54,5.45,5.45,10.09,-22.88
272,31675.38,31893.25,0.00,0.57,5.85,5.85,10.26,-22.79
277,31893.25,32111.11,0.00,0.60,6.59,6.59,10.98,-21.64
282,32111.11,32328.98,0.00,0.70,7.47,7.47,10.67,-21.75
287,32328.98,32546.84,0.00,0.69,7.59,7.59,11.00,-21.67
292,32546.84,32764.71,0.00,0.70,7.62,7.62,10.89,-21.30
297,32764.71,32982.57,0.00,0.62,6.68,6.68,10.77,-22.41
302,32982.57,33200.44,0.00,0.73,9.01,9.01,12.34,-19.94
307,33200.44,33418.30,0.00,0.53,6.34,6.34,11.96,-20.76
312,33418.30,33636.17,0.00,0.60,6.59,6.59,10.98,-20.41
317,33636.17,34725.49,0.00,0.25,2.95,2.95,11.80,-20.48
342,34725.49,34943.36,0.00,0.94,13.12,13.12,13.96,-17.44
347,34943.36,35161.22,0.00,1.05,15.22,15.22,14.50,-16.47
352,35161.22,35379.08,0.00,0.85,11.93,11.93,14.04,-18.03
357,35379.08,35596.95,0.00,0.53,6.30,6.30,11.89,-21.00
362,35596.95,35814.81,0.00,0.42,4.62,4.62,11.00,-22.84
367,35814.81,36032.68,0.00,0.37,3.88,3.88,10.49,-23.30
372,36032.68,36250.54,0.00,0.30,2.88,2.88,9.60,-23.29
377,36250.54,36468.41,0.00,0.22,2.17,2.17,9.86,-23.32
382,36468.41,36686.27,0.00,0.40,4.18,4.18,10.45,-23.35
387,36686.27,36904.14,0.00,0.46,4.72,4.72,10.26,-23.18
392,36904.14,37122.00,0.00,0.47,4.99,4.99,10.62,-23.03
397,37122.00,37339.87,0.00,0.54,6.09,6.09,11.28,-22.13
402,37339.87,37557.73,0.00,0.56,6.94,6.94,12.39,-21.39
407,37557.73,37775.60,0.00,0.72,8.89,8.89,12.35,-20.55
412,37775.60,37993.46,0.00,0.70,8.74,8.74,12.49,-20.57
417,37993.46,38211.33,0.00,0.75,9.62,9.62,12.83,-20.22
422,38211.33,38429.19,0.00,0.80,10.41,10.41,13.01,-20.34
427,38429.19,38647.06,0.00,0.65,7.99,7.99,12.29,-20.93
432,38647.06,39954.25,0.00,0.57,6.45,6.45,11.32,-21.54
462,39954.25,40172.11,0.00,0.63,6.34,6.34,10.06,-20.10
467,40172.11,40389.98,0.00,0.60,6.44,6.44,10.73,-21.39
472,40389.98,40607.84,0.00,0.69,8.68,8.68,12.58,-20.57
477,40607.84,40869.28,0.00,0.56,6.76,6.76,12.07,-21.41
483,40869.28,41043.57,0.00,0.48,5.21,5.21,10.85,-22.57
487,41043.57,41261.44,0.00,0.54,6.46,6.46,11.96,-21.65
492,41261.44,41479.30,0.00,0.59,7.06,7.06,11.97,-21.28
497,41479.30,41697.17,0.00,0.76,9.27,9.27,12.20,-20.39
502,41697.17,41915.03,0.00,0.80,10.38,10.38,12.98,-20.19
507,41915.03,42132.90,0.00,0.59,7.05,7.05,11.95,-21.41
512,42132.90,42350.76,0.00,0.62,7.08,7.08,11.42,-20.80
517,42350.76,42568.63,0.00,0.65,7.69,7.69,11.83,-20.38
522,42568.63,42786.49,0.00,0.62,7.24,7.24,11.68,-20.46
527,42786.49,43004.36,0.00,0.55,6.20,6.20,11.27,-20.56
532,43004.36,43222.22,0.00,0.51,5.85,5.85,11.47,-20.47
537,43222.22,43440.09,0.00,0.44,4.90,4.90,11.14,-21.44
542,43440.09,43657.95,0.00,0.36,3.44,3.44,9.56,-24.77
547,43657.95,43875.82,0.00,0.32,3.08,3.08,9.63,-24.63
552,43875.82,44093.68,0.00,0.54,5.99,5.99,11.09,-23.40
557,44093.68,45183.01,0.00,0.63,7.64,7.64,12.13,-23.01
582,45183.01,45400.87,0.00,0.57,6.26,6.26,10.98,-21.41
587,45400.87,45618.74,0.00,0.37,3.77,3.77,10.19,-23.91
592,45618.74,45836.60,0.00,0.55,6.15,6.15,11.18,-23.47
597,45836.60,46054.47,0.00,0.55,6.55,6.55,11.91,-23.25
602,46054.47,46272.33,0.00,0.43,4.80,4.80,11.16,-23.56
607,46272.33,46490.20,0.00,0.36,4.24,4.24,11.78,-23.78
612,46490.20,46708.06,0.00,0.35,4.31,4.31,12.31,-23.52
617,46708.06,46925.93,0.00,0.28,3.19,3.19,11.39,-23.35
622,46925.93,47143.79,0.00,0.28,2.56,2.56,9.14,-25.07
627,47143.79,47361.66,0.00,0.25,2.13,2.13,8.52,-25.55
632,47361.66,47579.52,0.00,0.24,1.90,1.90,7.92,-26.00
637,47579.52,47797.39,0.00,0.25,1.99,1.99,7.96,-25.73
642,47797.39,48015.25,0.00,0.28,2.33,2.33,8.32,-25.30
647,48015.25,48233.12,0.00,0.30,2.65,2.65,8.83,-25.07
652,48233.12,48450.98,0.00,0.34,3.23,3.23,9.50,-24.78
657,48450.98,48668.85,0.00,0.39,4.05,4.05,10.38,-24.30
662,48668.85,48886.71,0.00,0.46,5.34,5.34,11.61,-23.40
667,48886.71,49104.58,0.00,0.37,4.19,4.19,11.32,-23.26
672,49104.58,49322.44,0.00,0.40,4.35,4.35,10.88,-24.32
677,49322.44,50411.76,0.00,0.50,5.74,5.74,11.48,-24.41
702,50411.76,50629.63,0.00,0.61,6.74,6.74,11.05,-20.88
707,50629.63,50847.49,0.00,0.50,5.64,5.64,11.28,-21.34
712,50847.49,51065.36,0.00,0.43,4.37,4.37,10.16,-23.13
717,51065.36,51283.22,0.00,0.36,3.44,3.44,9.56,-24.50
722,51283.22,51501.09,0.00,0.32,3.15,3.15,9.84,-24.73
727,51501.09,51718.95,0.00,0.50,5.46,5.46,10.92,-23.50
732,51718.95,51936.82,0.00,0.28,2.97,2.97,10.61,-24.40
737,51936.82,52154.68,0.00,0.29,2.84,2.84,9.79,-24.54
742,52154.68,52372.55,0.00,0.60,6.91,6.91,11.52,-23.77
747,52372.55,52590.41,0.00,0.58,6.83,6.83,11.78,-23.47
752,52590.41,52808.28,0.00,0.55,6.35,6.35,11.55,-23.30
757,52808.28,53026.14,0.00,0.52,5.96,5.96,11.46,-23.16
