upper_age,lower_age,depth (cm),LOI 375,EM1,EM2,EM3,EM4
25929.57746,25976.52582,164,,,,,
25976.52582,26023.47418,165,,,,,
26023.47418,26070.42254,166,,,,,
26070.42254,26117.37089,167,0.104,0.102,0.473,0.000,0.320
26117.37089,26164.31925,168,0.095,0.103,0.448,0.041,0.313
26164.31925,26211.26761,169,0.091,0.115,0.456,0.018,0.320
26211.26761,26258.21596,170,0.087,0.116,0.410,0.104,0.282
26258.21596,26305.16432,171,0.087,0.100,0.425,0.114,0.273
26305.16432,26352.11268,172,0.089,0.130,0.374,0.060,0.347
26352.11268,26399.06103,173,0.082,0.142,0.416,0.000,0.360
26399.06103,26446.00939,174,0.080,0.128,0.375,0.099,0.318
26446.00939,26492.95775,175,0.081,0.112,0.396,0.077,0.333
26492.95775,26539.9061,176,0.080,0.055,0.472,0.027,0.366
26539.9061,26586.85446,177,0.076,0.040,0.453,0.044,0.388
26586.85446,26633.80282,178,0.078,0.000,0.425,0.110,0.387
26633.80282,26680.75117,179,0.080,0.117,0.364,0.072,0.366
26680.75117,26727.69953,180,0.083,0.107,0.360,0.076,0.375
26727.69953,26774.64789,181,0.091,0.029,0.457,0.033,0.389
26774.64789,26821.59624,182,0.120,0.216,0.369,0.031,0.265
26821.59624,26868.5446,183,0.113,0.182,0.463,0.000,0.243
26868.5446,26915.49296,184,0.112,0.079,0.512,0.000,0.297
26915.49296,26962.44131,185,0.102,0.064,0.567,0.000,0.268
26962.44131,27009.38967,186,0.094,0.000,0.655,0.000,0.252
27009.38967,27056.33803,187,0.082,0.053,0.617,0.000,0.248
27056.33803,27103.28638,188,0.076,0.028,0.639,0.000,0.257
27103.28638,27150.23474,189,0.082,0.128,0.474,0.096,0.220
27150.23474,27197.1831,190,0.117,0.028,0.410,0.046,0.399
27197.1831,27244.13146,191,0.159,0.021,0.492,0.000,0.327
27244.13146,27291.07981,192,0.149,0.033,0.465,0.004,0.349
27291.07981,27338.02817,193,0.132,0.046,0.440,0.009,0.373
27338.02817,27384.97653,194,0.144,0.034,0.418,0.049,0.355
27384.97653,27431.92488,195,0.154,0.136,0.401,0.007,0.301
27431.92488,27478.87324,196,0.152,0.066,0.454,0.000,0.328
27478.87324,27525.8216,197,0.151,0.000,0.513,0.000,0.335
27525.8216,28887.32394,198,0.164,0.119,0.402,0.023,0.292
28887.32394,28934.2723,227,0.107,0.000,0.385,0.126,0.381
28934.2723,28981.22066,228,0.137,0.073,0.420,0.074,0.297
28981.22066,29028.16901,229,0.155,0.040,0.474,0.000,0.331
29028.16901,29075.11737,230,0.172,0.123,0.426,0.012,0.267
29075.11737,29122.06573,231,0.162,0.143,0.426,0.000,0.269
29122.06573,29169.01408,232,0.155,0.040,0.439,0.042,0.323
29169.01408,29215.96244,233,0.169,0.002,0.447,0.059,0.323
29215.96244,29262.9108,234,0.184,0.000,0.450,0.101,0.265
29262.9108,29309.85915,235,0.180,0.000,0.456,0.096,0.268
29309.85915,29356.80751,236,0.177,0.045,0.427,0.042,0.310
29356.80751,29403.75587,237,0.183,0.000,0.455,0.089,0.273
29403.75587,29450.70423,238,0.185,0.000,0.439,0.147,0.229
29450.70423,29497.65258,239,0.152,0.000,0.487,0.117,0.244
29497.65258,29544.60094,240,0.151,0.029,0.314,0.408,0.099
29544.60094,29591.5493,241,0.131,0.000,0.495,0.129,0.245
