"","depth","upper_age","lower_age","Pinnularia borealis","Nitzschia palea","Gomphosphenia sp","Aulacoseira italica","Eunotia cf sudetica","Pinnularia aff breviscostata","Pinnularia acrosphaeria","Gomphonema parvulum","Eunotia intermedia","Pinnularia abaujensis var linearis","Gomphonema aff mexicanum","Stauroneis phoenicenteron","Achnanthes lanceolata","Pinnularia viridis","Luticula mutica","Eunotia formica","Encyonema minutum","Orthoseira roeseana","Neidium iridis","Frustulia rhomboides","Brachysira vitrea","Eunotia naeglii","Aulacoseira granulata var. angustissima","Eunotia serra","Gomphonema truncatum","Eunotia monodon","Eunotia bilunaris","Aulacoseira granulata","Pinnularia maior","Tabellaria flocculosa","Rhopalodia gibba","Achnanthidium minutissimum","Gomphonema gracile","Navicula spp","Cymbella gracilis","Eunotia flexuosa","Fragilaria tenera","Navicula radiosa","Pinnularia spp","Pinnularia gibba","Craticula riparia","Navicula cryptotenella","Amphora ovalis","Eunotia soleirolii","Cymbella silesiacum","Gomphonema angustum","Mayamaea sp","Nitzschia amphibia","Gomphosphenia lingulatiformis","Cyclotella meneghiniana","Brachysira brebisonii","Cocconeis placentula","Cymbella minor","Epithemia turgida","Eunotia minor","Aulacoseira cf laevis","Discostella stelligera","Aulacoseira ambigua","Small Fragilarioids"
"1",60,432,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,17,5,0,2,0,0,1,0,0,15,0,0,0,0,0,0,0,20,2,1,0,1,0,0,29,0,0,0,0,0,376,14,6
"2",79,862,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,3,0,1,0,0,4,0,0,0,0,0,0,0,0,9,0,7,0,4,0,98,12,0,0,0,0,2,316,20,16
"3",89,1087,1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,4,0,6,0,0,0,0,0,0,0,0,5,1,9,0,0,0,0,11,0,0,0,0,29,346,81,15
"4",99,1310,1780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,4,0,0,8,0,0,7,0,13,0,0,5,0,0,0,0,0,17,6,4,0,0,0,0,141,0,3,0,0,343,82,4,19
"5",120,1780,2690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,3,0,0,4,0,0,3,2,6,1,0,1,0,0,0,0,0,4,1,9,0,0,0,0,46,0,0,0,0,548,38,1,93
"6",160,2690,3090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,5,0,18,0,0,0,0,3,0,0,0,0,0,0,0,0,5,6,2,0,0,0,0,0,0,0,0,0,14,163,73,318
"7",178,3090,3310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,1,0,6,0,0,17,2,22,5,0,0,0,0,0,0,0,22,21,5,1,2,0,0,28,0,0,8,0,10,159,26,266
"8",188,3310,4640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,11,0,0,7,0,0,24,0,17,2,0,3,0,0,0,0,0,14,15,0,0,0,0,0,50,0,2,0,0,8,272,6,87
"9",248,4640,4910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,443,46,0
"10",260,4910,5135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,4,8,0,1,0,0,6,0,4,1,0,0,0,0,0,0,0,3,18,11,0,6,0,0,1,0,0,2,0,3,380,25,27
