depth,upper_age,lower_age,Suma total,Pollen concentration L-FUQ M1,Pollen/spores,Charcoal concentration,Lycopodium,Alchornea,Alnus,Amaranthaceae,Ardisia,Asteraceae_Ambrosia,Asteraceae_lig,Asteraceae_tub,Bignoniaceae,Bocconia,Caryophyllaceae_Cerastium,Cecropia,TF_16_Chamaesyce,Clethra,Cyperaceae,Daphnopsis,Drymis,Elodea,Elodea tenue,Elodea verrucate,Ericaceae grande (TT 45),Ericaceae pequ (M7),Faramea,Hedyosmum,Hydrocotile,Ilex,Juglans,Ludwigia,Malvaceae_Sida,Melastomataceae,Mimosaceae,Monina,Mor-Urt,Myrica,Myriophyllum,Myrsine,Myrtaceae,Pinus,Piper,Poaceae,Poaceae_Zea mais,Podocarpus,Pollen others,Polygonum,Quercus,Sapium,Solanaceae_Cestrum,Scrophulariaceae,TF_01 Dodonaea,TF_02,TF_03 Rumex,TF_04_Esférica reticulada (Potamogetum),TF_05,TF_06_Acalypha,TF_09,TF_10_Rubiaceae/Psychotria,TF_11,TF_12,TF_13 Monocot,TF_14_Celtis,TF_15_Gunnera,TF_17_C3ret,TF_18_C3P3 ret,TF_19,TF_21_Campanulaceae/Rhizocephalum,TF_23,TF_24_Bassicaceae,TF_25,TF_28,TF_30 Eichhornia,TF_31,TF_32,TF_33,TF_34 Phytolacca/Malpighiaceae,TF_36_Schinus molle,TF_37,TF_38,TF_39,TF_44_Dalea,TF_Geranium cf.,Typha,Weinmannia,Alsophyla,Aspleniaceae/Hypolepis,Cyathea verrugate,Cyathea horrida,Cyathea psilada,Fungal spore,Hymenophyllum,Isoetes,Lycopodium,Monolete psilate,Monolete scabrate,Monolete _T42,Polypodium,Selaginella,Asplenium,Thelypteris (M22),Trilete psilate,Trilete scabrate,TT_01_Jamesonia,TT_20_Grammitis,TT_29,Dennstaediaceae,Ophioglosum,Alga triangular(Staurastrum) Oligotrophic?,Alga triangular T2,Alga triangular T3,Azolla,Botryoccocus,Dinoflagelado,Huevo de copepodo ?,Pediastrum,Pediastrum grande punteado,Spirogyra,Thecamoeba,Tetraploa aristata,Zignemataceae,Carbones,Carbones 50-75 um
2.5,-68,-66,204,4956.867133,29.14285714,0,429,1,7,1,1,,,4,,,,,,,9,,,31,1,,,,,4,,,,,,,,,,4,1,2,,12,,27,,,66,,6,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,0,,,,0,4,0,,0,0,0,0,3,0,0,0,,0,,0,,,,0,0,0,565,0,,41,0,0,0,0
4.5,-66,-63,64,2965.048889,10.66666667,8524.515556,225,,3,,,,1,1,,,,,,,1,,,17,,2,,,,,,,,,,,,,1,1,,,,8,,12,,2,4,,1,,,,3,,1,3,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,3,,,1,,,1,,,,,8,,3,,,,,4,32,,33,,14,147,37
8.5,-63,-52,107,4130.992593,15.28571429,4941.748148,270,1,2,,,1,,2,,,,,,,2,,,25,,,,1,,2,,,,1,,,,,,2,,1,,12,1,20,,1,13,1,,,,,2,,7,5,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,0,,0,,,,1,0,0,,2,0,0,2,1,0,0,0,,0,,14,,,,0,1,0,8,0,,53,0,4,91,37
10.5,-52,-44,233,11323.41004,116.5,87.23012552,239,1,16,3,,3,2,4,,,,1,,,6,,,19,,,,,,1,,,1,,,2,,,,2,,5,4,2,,60,,,75,,1,,,,12,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,0,0,0,,0,,,,0,2,0,,0,0,0,0,0,0,0,0,,0,,3,,,,0,1,0,1,0,,21,0,0,2,0
12.5,-44,-39,133,3448.203125,22.16666667,488.625,448,,4,,,,,,,,,,,,13,,,22,,,,,,3,,,,,,,1,,3,4,1,2,2,9,,23,,2,15,,2,,,,6,,10,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,0,0,,0,,,,1,2,0,,1,0,0,0,2,0,0,0,,0,,425,,,,0,1,0,10,0,,11,0,15,21,0
14.5,-39,-33,151,3479.890873,10.78571429,2295.761905,504,2,,,,6,,3,,,2,,,,9,1,,37,,,,,,3,,,,,,,,,1,2,,5,,8,,26,,3,8,,6,,,,7,,7,6,,3,,2,,,,,1,,,1,1,,,,,,,,,,,,,,,,1,,0,0,1,,1,,,,0,2,0,,4,1,1,0,0,3,1,0,,0,,42,,,,5,2,2,9,1,,7,2,7,98,13
15.5,-33,-27,150,6200.177936,13.63636364,4266.049822,281,1,9,1,,1,1,5,,,1,,,,6,,,25,,,,,1,,,,,1,,,,,2,,4,1,1,7,,33,1,,16,,2,,,,2,,2,8,,,,5,,,,,2,,2,,,1,1,3,1,,,,,,,,,,,,4,,,,,,1,2,1,,,,,,3,,,1,,3,,,,,,6,,,,7,,2,1,,2,14,,3,99,16
16.5,-27,33,101,4045.224138,10.1,4960.386207,290,1,3,,,1,,1,,,,,,,5,,,6,12,,,,,5,,,1,,,,,,1,,,5,,4,,31,,,5,2,1,,,,5,,4,1,,,,,,,,,,,,,,,,,,1,,2,1,1,1,1,,,,,,,,,,,,,,,,1,3,,,1,,,3,1,,,1,,,71,1,2,,6,2,,3,1,,6,,26,112,26
19.5,33,238,144,3581.498929,6,6316.899358,467,1,12,1,,7,1,2,1,,,,,,10,,,4,,,2,,1,1,1,,,,2,,,,2,4,1,7,1,,1,42,1,,17,1,1,,,1,4,,9,3,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,2,1,,6,1,2,2,3,5,,,,,,2,,,,2,1,,2,,,2,1,,258,25
29.5,238,276,66,1084.285714,5.076923077,1562.862801,707,,3,6,,3,,3,,,,,,,4,,1,,,,,,,2,,,,1,,1,,,,,,1,,,,5,2,1,16,,,,,,5,,2,4,,,,1,,,,,,2,,,,,1,,,,,,,,,,,,1,1,,,,,,,3,,2,,,,4,,4,,,,,,,,,,,1,,,,1,1,2,1,,,1,,1,85,21
