Country;Site_Name;Latitude;Longitude;C14_date;Error;Lab_Number;Material_Dated;Reference;Full Reference;
Argentina;Abrigo de los Pescadores;-51,150706;-70,269414;3462;51;AA-91427;plant;Pallo 2015;Pallo, M.C. (2015). Tecnologias SIG y patrones de organizacion espacial entre cazadores recolectores: un caso de estudio arqueologico de Patagonia meridional (extremo sur de Sudamerica). Complutum, 26, 71-90.;
Argentina;Abrigo La Grieta;-37,958056;-58,121944;3083;37;AA-94637;charcoal;Mazzanti et al 2013;Mazzanti, D. L., Martinez, G., Colobig, M. M., Zucol, A., Passeggi, E., Brea, M., Bonnat, G. F., Hassan, G., Soria, J. L., Vera, A., & Quintana, A. C. (2013). Avances en los estudios arqueologicos, geoarqueologicos, y paleoambientales en las sierras orientales de Tandilia. Resultados preliminares de los sitios Alero El Mirador y Abrigo La Grieta. Revista del Museo de La Plata, Seccion Antropologia, 13, 87.;
Argentina;Abrigo Pozo Cavado (APC/S1-C4);-24,3666;-66,7166;2970;80;LP-2636;bone;Lopez 2012;Lopez, G. (2012). Archaeological studies in the highlands of Salta, northwestern Argentina, during the Middle Holocene: the case of the Pocitos and Pastos grandes Basins. Quaternary International, 256, 27-34.;
Argentina;Abrigo Pozo Cavado (APC/S1-C4);-24,3666;-66,7166;3738;46;AA 66545;collagen;Lopez 2012;Lopez, G. (2012). Archaeological studies in the highlands of Salta, northwestern Argentina, during the Middle Holocene: the case of the Pocitos and Pastos grandes Basins. Quaternary International, 256, 27-34.;
Argentina;Abrigo Pozo Cavado (APC/S1-C4);-24,3666;-66,7166;3884;59;AA 90384;collagen;Lopez 2012;Lopez, G. (2012). Archaeological studies in the highlands of Salta, northwestern Argentina, during the Middle Holocene: the case of the Pocitos and Pastos grandes Basins. Quaternary International, 256, 27-34.;
Argentina;Abrigo Pozo Cavado (APC/S1-C4);-24,3666;-66,7166;4210;70;LP- 1655;collagen;Lopez 2012;Lopez, G. (2012). Archaeological studies in the highlands of Salta, northwestern Argentina, during the Middle Holocene: the case of the Pocitos and Pastos grandes Basins. Quaternary International, 256, 27-34.;
Argentina;Abrigo Pozo Cavado (APC/S1-C4);-24,3666;-66,7166;5106;68;AA 90383;charcoal;Lopez 2012;Lopez, G. (2012). Archaeological studies in the highlands of Salta, northwestern Argentina, during the Middle Holocene: the case of the Pocitos and Pastos grandes Basins. Quaternary International, 256, 27-34.;
Argentina;Abrigo Pozo Cavado (APC/S1-C4);-24,3666;-66,7166;6280;90;LP-2631;bone;Lopez 2013;Lopez, G. (2013). Ocupaciones humanas y cambio a lo largo del Holoceno en Abrigos Roscosos de la Puna de Salta, Argentina: una perspectiva regional. Chungara (Arica), 45, ISSN 0717-7356.;
Argentina;Abrigo Pozo Cavado (APC/S1-C4);-24,3666;-66,7166;6506;58;AA 71137;bone;Lopez 2012;Lopez, G. (2012). Archaeological studies in the highlands of Salta, northwestern Argentina, during the Middle Holocene: the case of the Pocitos and Pastos grandes Basins. Quaternary International, 256, 27-34.;
Argentina;Abrigo Pozo Cavado (APC/S1-C4);-24,3666;-66,7166;6510;80;LP-1759;charcoal;Lopez 2012;Lopez, G. (2012). Archaeological studies in the highlands of Salta, northwestern Argentina, during the Middle Holocene: the case of the Pocitos and Pastos grandes Basins. Quaternary International, 256, 27-34.;
Argentina;Abrigo Pozo Cavado (APC/S1-C4);-24,3666;-66,7166;8504;52;unknown;unknown;Lopez 2008;Lopez, C. (2008). Landscape development and the evidence for Early Human occupation in the Inter-andean tropical lowlands of the Magdalena River, Colombia. Syllaba Press, Miami.;
Argentina;Abrigo Pozo Cavado (APC/S1-C4);-24,3666;-66,7166;8838;52;unknown;unknown;Lopez 2008;Lopez, C. (2008). Landscape development and the evidence for Early Human occupation in the Inter-andean tropical lowlands of the Magdalena River, Colombia. Syllaba Press, Miami.;
Argentina;Abrigo Pozo Cavado (APC/S1-C4);-24,3666;-66,7166;9650;100;LP-1736;unknown;Lopez 2009;Lopez, G. E. J. (2009). Arqueofaunas, osteometrica, y evidencia artefactual en Pastos Grandes, Puna de Salta: secuenca de cambio a lo largo del Holoceno temprano, medio, y tardio en el sitio Alero Cuevas. Intersecciones en Antropologia, 10, 105-119.;
Argentina;Agua de la Cueva;-32,616;-69,15;3460;100;Teledyne 16773;charcoal;Prates et al 2013;Prates, L., Politics, G., & Steele, J. (2013). Radiocarbon chronology of the early human occupation of Argentina. 301, 104-122.;
Argentina;Agua de la Cueva;-32,616;-69,15;4090;110;Teledyne 16772;charcoal;Prates et al 2013;Prates, L., Politics, G., & Steele, J. (2013). Radiocarbon chronology of the early human occupation of Argentina. 301, 104-122.;
Argentina;Agua de la Cueva;-32,616;-69,15;4720;80;LP 324;charcoal;Mendez et al 2015;Mendez, C., Gil, A., Neme, G., Delaunay, A. N., Cortegoso, V., Huidobro, C. Duran, V., & Maldonado, A. (2015). Mid Holocene radiocarbon ages in the Subtropical Andres (~29-35 S), climatic change and implications for human space organization. Quaternary International, 356, 15-26.;
Argentina;Agua de la Cueva;-32,616;-69,15;5080;70;Beta 84829;charcoal;Prates et al 2013;Prates, L., Politics, G., & Steele, J. (2013). Radiocarbon chronology of the early human occupation of Argentina. 301, 104-122.;
Argentina;Agua de la Cueva;-32,616;-69,15;7420;90;LP - 1654;charcoal;Neme & Gil 2009;Neme, G., & Gil, A. (2009). Human occupation and increasing Mid-Holocene aridity. Southern Andean perspectives. Current Anthropology, 50, 149-163.;
Argentina;Agua de la Cueva;-32,616;-69,15;7450;140;Beta 90740;charcoal;Prates et al 2013;Prates, L., Politics, G., & Steele, J. (2013). Radiocarbon chronology of the early human occupation of Argentina. 301, 104-122.;
Argentina;Agua de la Cueva;-32,616;-69,15;8270;90;LP 1662;charcoal;Prates et al 2013;Prates, L., Politics, G., & Steele, J. (2013). Radiocarbon chronology of the early human occupation of Argentina. 301, 104-122.;
Argentina;Agua de la Cueva;-32,616;-69,15;8460;100;LP-1678;charcoal;Neme & Gil 2009;Neme, G., & Gil, A. (2009). Human occupation and increasing Mid-Holocene aridity. Southern Andean perspectives. Current Anthropology, 50, 149-163.;
Argentina;Agua de la Cueva;-32,616;-69,15;8800;70;Beta 29886;charcoal;Prates et al 2013;Prates, L., Politics, G., & Steele, J. (2013). Radiocarbon chronology of the early human occupation of Argentina. 301, 104-122.;
Argentina;Agua de la Cueva;-32,616;-69,15;9210;70;Beta 64539;charcoal;Paez et al 2003;Paez, M. M., Zarate, M., Mancini, M. V., & Prieto, A. (2003). Paleoenvironments during the Pleistocene-Holocene transition in southern South America, Argentina. In: Where the South Winds Blow. (Eds: Miotti, L., Salemme, M., & Flegenheimer, N.). Center for the Study of the First Americans, Texas A&M University Press, College Station, pp 121-125.;
Argentina;Agua de la Cueva;-32,616;-69,15;9760;160;Beta 61410;charcoal;Paez et al 2003;Paez, M. M., Zarate, M., Mancini, M. V., & Prieto, A. (2003). Paleoenvironments during the Pleistocene-Holocene transition in southern South America, Argentina. In: Where the South Winds Blow. (Eds: Miotti, L., Salemme, M., & Flegenheimer, N.). Center for the Study of the First Americans, Texas A&M University Press, College Station, pp 121-125.;
Argentina;Agua de la Cueva;-32,616;-69,15;9840;90;Beta 26781;charcoal;Paez et al 2003;Paez, M. M., Zarate, M., Mancini, M. V., & Prieto, A. (2003). Paleoenvironments during the Pleistocene-Holocene transition in southern South America, Argentina. In: Where the South Winds Blow. (Eds: Miotti, L., Salemme, M., & Flegenheimer, N.). Center for the Study of the First Americans, Texas A&M University Press, College Station, pp 121-125.;
Argentina;Agua de la Cueva;-32,616;-69,15;10240;60;Beta 61408;charcoal;Paez et al 2003;Paez, M. M., Zarate, M., Mancini, M. V., & Prieto, A. (2003). Paleoenvironments during the Pleistocene-Holocene transition in southern South America, Argentina. In: Where the South Winds Blow. (Eds: Miotti, L., Salemme, M., & Flegenheimer, N.). Center for the Study of the First Americans, Texas A&M University Press, College Station, pp 121-125.;
Argentina;Agua de la Cueva;-32,616;-69,15;10350;220;Beta 26250;charcoal;Paez et al 2003;Paez, M. M., Zarate, M., Mancini, M. V., & Prieto, A. (2003). Paleoenvironments during the Pleistocene-Holocene transition in southern South America, Argentina. In: Where the South Winds Blow. (Eds: Miotti, L., Salemme, M., & Flegenheimer, N.). Center for the Study of the First Americans, Texas A&M University Press, College Station, pp 121-125.;
Argentina;Agua de la Cueva;-32,616;-69,15;10950;90;Beta 61409;charcoal;Paez et al 2003;Paez, M. M., Zarate, M., Mancini, M. V., & Prieto, A. (2003). Paleoenvironments during the Pleistocene-Holocene transition in southern South America, Argentina. In: Where the South Winds Blow. (Eds: Miotti, L., Salemme, M., & Flegenheimer, N.). Center for the Study of the First Americans, Texas A&M University Press, College Station, pp 121-125.;
Argentina;Agua de Tinaja I;-32,466667;-69,299722;4510;130;GaK 10733;charcoal;Mendez et al 2015;Mendez, C., Gil, A., Neme, G., Delaunay, A. N., Cortegoso, V., Huidobro, C. Duran, V., & Maldonado, A. (2015). Mid Holocene radiocarbon ages in the Subtropical Andres (~29-35 S), climatic change and implications for human space organization. Quaternary International, 356, 15-26.;
Argentina;Agua Dulce (test pit 1);-27,026116;-65,017529;3738;46;AA 66545;bone;Lopez 2012;Lopez, G. (2012). Archaeological studies in the highlands of Salta, northwestern Argentina, during the Middle Holocene: the case of the Pocitos and Pastos grandes Basins. Quaternary International, 256, 27-34.;
Argentina;Alero Arias;-40,05;-69,95;3230;60;Beta-41621;charcoal;Sanguinetti & Curzio 1996;Sanguinetti, A. C., & Curzio, D. (1996). Excavaciones arqueologicas en el sitio Piedra del Aguila 11. Praehistoria, 3, 43-99.;
Argentina;Alero Cardenas;-47,164766;-70,629837;3450;110;AC 498;charcoal;Orquera 1987;Orquera, L. A. (1987). Advances in the archaeology of the Pampa and Patagonia. Advances in Word Archaeology. Comp Wendorf, F. & Close, A. Volume 6. Academic Press, Princeton.;
Argentina;Alero Cardenas;-47,164766;-70,629837;7300;200;AC 499;charcoal;Orquera 1987;Orquera, L. A. (1987). Advances in the archaeology of the Pampa and Patagonia. Advances in Word Archaeology. Comp Wendorf, F. & Close, A. Volume 6. Academic Press, Princeton.;
Argentina;Alero Cardenas;-47,164766;-70,629837;7750;125;AC-497;unknown;Prates et al 2013;Prates, L., Politics, G., & Steele, J. (2013). Radiocarbon chronology of the early human occupation of Argentina. 301, 104-122.;
Argentina;Alero Charcamata;-47,05;-70,4;5040;60;CISC-801;unknown;Gradin & Aguerre 1994;Gradin, C., & Aguerre, A. (1994). Excavacion del enterratorio de Puesto del Rodeo. In: Contribucion a la Arqueologia del Rio Pinturas. (Eds. Gradin, C., & Aguerre, A.). Editorial Ayllu, Buenos Aires, pp 259-272.;
Argentina;Alero Charcamata;-47,05;-70,4;5290;60;CISC-800;unknown;Gradin & Aguerre 1994;Gradin, C., & Aguerre, A. (1994). Excavacion del enterratorio de Puesto del Rodeo. In: Contribucion a la Arqueologia del Rio Pinturas. (Eds. Gradin, C., & Aguerre, A.). Editorial Ayllu, Buenos Aires, pp 259-272.;
Argentina;Alero del Bosque;-50,547533;-72,798004;3110;50;Beta-91301;bone;Franco 2002;Franco, N. V. (2002). Estrategias de utilizacion de recursos liticos en la cuenca superior del rio Santa Cruz. PhD. Thesis. Facultdad de Filosofia y Letras, Universidad de Buenos Aires, Buenos Aires, Argentina.;
Argentina;Alero del Leon;-48,877344;-71,424109;2190;50;UGA 10009;bone;Goni et al 2004;Goni, R., Barrientos, G., Figuerero, M., Mengoni, G., Mena, F., Lucero, V., & Reyes, O. (2004). Distribucion espacial de entierrros en la cordillera de Patagonia centro-meridional (Lago Salitroso-Paso Roballos, Argentina. Entrada Baker-Chacabuco, Chile). Actas XV Congreso Nacional de Arqueologia Chilena. Chungara Revista de Antropologia Chilena, volumen especial, tomo II, 1101-1107.;
Argentina;Alero del Leon;-48,877344;-71,424109;3560;40;UGA 10008;bone;Goni et al 2004;Goni, R., Barrientos, G., Figuerero, M., Mengoni, G., Mena, F., Lucero, V., & Reyes, O. (2004). Distribucion espacial de entierrros en la cordillera de Patagonia centro-meridional (Lago Salitroso-Paso Roballos, Argentina. Entrada Baker-Chacabuco, Chile). Actas XV Congreso Nacional de Arqueologia Chilena. Chungara Revista de Antropologia Chilena, volumen especial, tomo II, 1101-1107.;
Argentina;Alero Destacamento Guardaparque;-47,88217;-72,04538;3440;70;unknown;unknown;Rindel 2004;Rindel, D. D. (2004). Patrones de procesamiento faunistico en el sitio Alero Destacamento Guardaparque durante el Holoceno medio. In: Contra viento y marea. Arqueologia de Patagonia. Instituto Nacional de Antropologia y Pensamiento Latinoamericano, Buenos Aires, 263-276.;
Argentina;Alero Destacamento Guardaparque;-47,88217;-72,04538;4900;70;unknown;unknown;Rindel 2004;Rindel, D. D. (2004). Patrones de procesamiento faunistico en el sitio Alero Destacamento Guardaparque durante el Holoceno medio. In: Contra viento y marea. Arqueologia de Patagonia. Instituto Nacional de Antropologia y Pensamiento Latinoamericano, Buenos Aires, 263-276.;
Argentina;Alero Destacamento Guardaparque;-47,88217;-72,04538;5570;70;unknown;unknown;Rindel 2004;Rindel, D. D. (2004). Patrones de procesamiento faunistico en el sitio Alero Destacamento Guardaparque durante el Holoceno medio. In: Contra viento y marea. Arqueologia de Patagonia. Instituto Nacional de Antropologia y Pensamiento Latinoamericano, Buenos Aires, 263-276.;
Argentina;Alero Destacamento Guardaparque;-47,88217;-72,04538;6700;70;unknown;unknown;Rindel 2004;Rindel, D. D. (2004). Patrones de procesamiento faunistico en el sitio Alero Destacamento Guardaparque durante el Holoceno medio. In: Contra viento y marea. Arqueologia de Patagonia. Instituto Nacional de Antropologia y Pensamiento Latinoamericano, Buenos Aires, 263-276.;
Argentina;Alero El Mirador;-37,920556;-58,097778;5089;40;AA-95253;charcoal;Mazzanti et al 2013;Mazzanti, D. L., Martinez, G., Colobig, M. M., Zucol, A., Passeggi, E., Brea, M., Bonnat, G. F., Hassan, G., Soria, J. L., Vera, A., & Quintana, A. C. (2013). Avances en los estudios arqueologicos, geoarqueologicos, y paleoambientales en las sierras orientales de Tandilia. Resultados preliminares de los sitios Alero El Mirador y Abrigo La Grieta. Revista del Museo de La Plata, Seccion Antropologia, 13, 87.;
Argentina;Alero El Mirador;-37,920556;-58,097778;5104;42;AA-98681;charcoal;Mazzanti et al 2013;Mazzanti, D. L., Martinez, G., Colobig, M. M., Zucol, A., Passeggi, E., Brea, M., Bonnat, G. F., Hassan, G., Soria, J. L., Vera, A., & Quintana, A. C. (2013). Avances en los estudios arqueologicos, geoarqueologicos, y paleoambientales en las sierras orientales de Tandilia. Resultados preliminares de los sitios Alero El Mirador y Abrigo La Grieta. Revista del Museo de La Plata, Seccion Antropologia, 13, 87.;
Argentina;Alero El Mirador;-37,920556;-58,097778;5247;47;AA-94635;charcoal;Mazzanti et al 2013;Mazzanti, D. L., Martinez, G., Colobig, M. M., Zucol, A., Passeggi, E., Brea, M., Bonnat, G. F., Hassan, G., Soria, J. L., Vera, A., & Quintana, A. C. (2013). Avances en los estudios arqueologicos, geoarqueologicos, y paleoambientales en las sierras orientales de Tandilia. Resultados preliminares de los sitios Alero El Mirador y Abrigo La Grieta. Revista del Museo de La Plata, Seccion Antropologia, 13, 87.;
Argentina;Alero El Mirador;-37,920556;-58,097778;8920;51;AA-98683;charcoal;Mazzanti et al 2013;Mazzanti, D. L., Martinez, G., Colobig, M. M., Zucol, A., Passeggi, E., Brea, M., Bonnat, G. F., Hassan, G., Soria, J. L., Vera, A., & Quintana, A. C. (2013). Avances en los estudios arqueologicos, geoarqueologicos, y paleoambientales en las sierras orientales de Tandilia. Resultados preliminares de los sitios Alero El Mirador y Abrigo La Grieta. Revista del Museo de La Plata, Seccion Antropologia, 13, 87.;
Argentina;Alero El Oriental;-47,91515;-65,810592;5150;80;LP-2311;charcoal;Ambrustolo et al 2011;Ambrustolo, P. (2011). Estudio de las estrategias de aprovisionamiento y utilizacion de los recursos liticos por grupos cazadores-recolectores en la Costa Norte de Santa Cruz (Patagonia - Argentina). PhD Thesis. Facultad de Ciencias Naturales y Museo, Universidad Nacional de La Plata, La Plata.;
