old;new_1;new_2_groups;new_3_fragilarioids;group;Cell_size;Life_form;Attachment
Aulacoseira italica;Aulacoseira italica;Aulacoseira italica;Aulacoseira italica;non-motile planktonic;macro;Colonial;unattached
A.d.cf.laev;Aulacoseira cf laevis;Aulacoseira cf laevis;Aulacoseira cf laevis;non-motile planktonic;macro;Colonial;unattached
Aulacoseira ambigua;Aulacoseira ambigua;Aulacoseira ambigua;Aulacoseira ambigua;non-motile planktonic;macro;Colonial;unattached
Aulacoseira herzogii;Aulacoseira herzogii;Aulacoseira herzogii;Aulacoseira herzogii;non-motile planktonic;macro;Colonial;unattached
A.g.var.angu;Aulacoseira granulata var. angustissima;Aulacoseira granulata var. angustissima;Aulacoseira granulata var. angustissima;non-motile planktonic;micro;Colonial;unattached
A.granul;Aulacoseira granulata;Aulacoseira granulata;Aulacoseira granulata;non-motile planktonic;macro;Colonial;unattached
Discostella stelligera;Discostella stelligera;Discostella stelligera;Discostella stelligera;non-motile planktonic;micro;Solitary;unattached
Cyclotella meneghiniana;Cyclotella meneghiniana;Cyclotella meneghiniana;Cyclotella meneghiniana;non-motile planktonic;meso;Solitary;unattached
Cocconeis placentula;Cocconeis placentula;Cocconeis placentula;Cocconeis placentula;non-motile benthic;micro;Sol_disc_shaped;Postrate
Cymbella 308;Cymbella 308;Cymbella 308;Cymbella 308;Slightly_weakly_mod motile ;macro;Solitary;PadStalks
Cymbella minor;Cymbella minor;Cymbella minor;Cymbella minor;Slightly_weakly_mod motile ;micro;Solitary;PadStalks
Cymbella minuta;Encyonema minutum;Encyonema minutum;Encyonema minutum;Slightly_weakly_mod motile ;micro;Solitary;PadStalks
C.silesiaca;Cymbella silesiacum;Cymbella silesiacum;Cymbella silesiacum;Slightly_weakly_mod motile ;macro;Solitary;PadStalks
C.gracilis;Cymbella gracilis;Cymbella gracilis;Cymbella gracilis;Slightly_weakly_mod motile ;macro;Solitary;PadStalks
Eunotia monodon;Eunotia monodon;Eunotia monodon;Eunotia monodon;Slightly_weakly_mod motile ;micro;Sol_elongated;Postrate
Eunotia naeglii;Eunotia naeglii;Eunotia naeglii;Eunotia naeglii;Slightly_weakly_mod motile ;nano;Colonial;Postrate
Eunotia flexuosa;Eunotia flexuosa;Eunotia flexuosa;Eunotia flexuosa;Slightly_weakly_mod motile ;micro;Colonial;Postrate
Eunotia formica;Eunotia formica;Eunotia formica;Eunotia formica;Slightly_weakly_mod motile ;meso;Colonial;Postrate
Eunotia minor;Eunotia minor;Eunotia minor;Eunotia minor;Slightly_weakly_mod motile ;macro;Sol_elongated;Postrate
Eu.soleirolii;Eunotia soleirolii;Eunotia soleirolii;Eunotia soleirolii;Slightly_weakly_mod motile ;nano;Sol_elongated;Postrate
Eu.bilun.var.bi;Eunotia bilunaris;Eunotia bilunaris;Eunotia bilunaris;Slightly_weakly_mod motile ;meso;Sol_elongated;Postrate
Eunotia sudetica?;Eunotia cf sudetica;Eunotia cf sudetica;Eunotia cf sudetica;Slightly_weakly_mod motile ;meso;Sol_elongated;Postrate
Eunotia flexuosa;Eunotia flexuosa;Eunotia flexuosa;Eunotia flexuosa;Slightly_weakly_mod motile ;meso;Sol_elongated;Postrate
Eunotia serra;Eunotia serra;Eunotia serra;Eunotia serra;Slightly_weakly_mod motile ;meso;Sol_elongated;Postrate
Eunotia intermedia;Eunotia intermedia;Eunotia intermedia;Eunotia intermedia;Slightly_weakly_mod motile ;meso;Sol_elongated;Postrate
Epithemia turgida;Epithemia turgida;Epithemia turgida;Epithemia turgida;Slightly_weakly_mod motile ;very_large;Sol_elongated;Postrate
E.sorex;Eunotia sorex;Eunotia sorex;Eunotia sorex;Slightly_weakly_mod motile ;very_large;Sol_elongated;Postrate
E.adnata;Eunotia adnata;Eunotia adnata;Eunotia adnata;Slightly_weakly_mod motile ;very_large;Sol_elongated;Postrate
Epithemia spp;Epithemia spp;Epithemia spp;Epithemia spp;Slightly_weakly_mod motile ;very_large;Sol_elongated;Postrate
Diploenis ovalis;Diploneis ovalis;Diploneis ovalis;Diploneis ovalis;Slightly_weakly_mod motile ;very_large;Sol_elongated;unattached
Pseudostaurosira elliptica;Pseudostaurosira elliptica;Pseudostaurosira elliptica;Small Fragilarioids;non-motile tychoplanktonic;micro;Colonial;unattached
Pseudostaurosira zeilleri;Pseudostaurosira zeilleri;Pseudostaurosira zeilleri;Small Fragilarioids;non-motile tychoplanktonic;micro;Colonial;unattached
Pseudostaurosira trainorii;Pseudostaurosira trainorii;Pseudostaurosira trainorii;Small Fragilarioids;non-motile tychoplanktonic;micro;Colonial;unattached
Pseudostaurosirella sp (como pinnata pero mas larga);Staurosirella cf pinnata;Small Staurosirella;Small Fragilarioids;non-motile tychoplanktonic;micro;Colonial;unattached
Staurosira construens;Staurosira construens;Staurosira construens;Small Fragilarioids;non-motile tychoplanktonic;meso;Colonial;unattached
Frag contruens var venter;Staurosira construens var venter;Staurosira construens var venter;Small Fragilarioids;non-motile tychoplanktonic;meso;Colonial;unattached
Staurosirella pinnata;Staurosirella pinnata;Small Staurosirella;Small Fragilarioids;non-motile tychoplanktonic;micro;Colonial;unattached
St construens var exigua;Staurosira construens var exigua;Small Staurosirella;Small Fragilarioids;non-motile tychoplanktonic;micro;Colonial;unattached
Pseudostaurosira brevistriata;Pseudostaurosira brevistriata;Pseudostaurosira brevistriata;Small Fragilarioids;non-motile tychoplanktonic;micro;Colonial;unattached
Pseudostaurosirella parasitica;Pseudostaurosira parasitica;Pseudostaurosira parasitica;Small Fragilarioids;non-motile tychoplanktonic;micro;Colonial;unattached
Staurosira construens (deformed);Staurosira construens;Staurosira construens;Small Fragilarioids;non-motile tychoplanktonic;micro;Colonial;unattached
Staurosirella cf berolinensis;Staurosirella cf berolinensis;Small Staurosirella;Small Fragilarioids;non-motile tychoplanktonic;micro;Colonial;unattached
St leptostauron;Staurosirella leptostauron;Small Staurosirella;Small Fragilarioids;non-motile tychoplanktonic;micro;Colonial;unattached
St parasitica;Pseudostaurosira parasitica;Pseudostaurosira parasitica;Small Fragilarioids;non-motile tychoplanktonic;micro;Colonial;unattached
P. mimetica;Pseudostaurosira mimetica;Pseudostaurosira mimetica;Small Fragilarioids;non-motile tychoplanktonic;meso;Colonial;unattached
