old,new,habitat,is_disturb,aquatic_habitat,terrestrial_group
Acalipha,Acalypha,Tree/shrub,0,terrestrial,subandean_forest
Aceana.Polylepis,Polylepis,Tree,0,terrestrial,subparamo
Alchornea,Alchornea,Tree/shrub,0,terrestrial,subandean_forest
Alga.triangular.Staurastrum..Oligotrophic.,cf.Staurastrum,Algae,0,floating,aquatic
Alnus,Alnus,Tree/shrub,1,terrestrial,andean_forest
Alsophyla,Alsophila,Fern,0,terrestrial,
Amaranthaceae,Amaranthaceae,Herb,0,terrestrial,
Anthostomella.feugiana,Anthostomella.feugiana,Fungi,0,terrestrial,
Aragoa,Aragoa,Grass,0,terrestrial,paramo
Asteraceae_Ambrosia,Asteraceae.Ambrosia,Herb,1,terrestrial,
Asteraceae_tub,Asteraceae.tub,Herb,1,terrestrial,
Asteraceae.Asteroidea,Asteraceae.Asteroidea,Herb,1,terrestrial,
Asteraceae.Liguliflora,Asteraceae.Liguliflora,Herb,1,terrestrial,
Asteraceae.tub.,Asteraceae.tub,Herb,0,terrestrial,
Borreria,Borreria,Herb/shrub,0,terrestrial,dry_environment
Botryoccocus,Botryoccocus,Algae,0,floating,aquatic
Caryophyllaceae,Caryophyllaceae,Grass,0,terrestrial,paramo
Cecropia,Cecropia,shrubs/small trees/ weedy,1,terrestrial,subandean_forest
Cercophora,Cercophora,Fungi,0,terrestrial,
Chenopodiaceae,Chenopodiaceae,Herb,0,terrestrial,dry_environment
Clethra,Clethra,Herb/shrub,0,terrestrial,andean_forest
Cyathea,Cyathea,Fern,0,terrestrial,andean_forest
Cyathea.psilada,Cyathea,Fern,0,terrestrial,andean_forest
Cyatheaceae,Cyathea,Fern,0,terrestrial,andean_forest
Cyperaceae,Cyperaceae,Aquatic,0,emergent,aquatic
Debarya,Debarya,Aquatic,,floating,aquatic
Dodonea,Dodonea,Shrub,1,terrestrial,dry_environment
Draba,Draba,unknown,0,unkown,
Elodea,Elodea,Aquatic,0,submerged,aquatic
Elodea.tenue,Elodea.tenue,Aquatic,0,submerged,aquatic
Ericaceae,Ericaceae,Shrub,0,terrestrial,subparamo
Eugenia,Eugenia,Shrub,0,terrestrial,andean_forest
Fungi,Fungi,Fungi,0,terrestrial,
Gelasinospora,Gelasinospora,Fungi,0,terrestrial,
Geranium,Geranium,Tree/shrubs/lianas/herbs,0,terrestrial,paramo
Hediosmum,Hedyosmum,Tree,1,terrestrial,andean_forest
Hedyosmum,Hedyosmum,Tree,1,terrestrial,andean_forest
Hydrocotile,Hydrocotyle,Aquatic,0,emergent,aquatic
Hydrocotyle,Hydrocotyle,Aquatic,0,emergent,aquatic
Hymenophyllum,Hymenophyllum,Fern,0,terrestrial,
Hypericum,Hypericum,Herb,0,terrestrial,subparamo
Ilex,Ilex,Tree/shrub,0,terrestrial,andean_forest
Isoetes,Isoetes,Aquatic,0,submerged,aquatic
Ludwigia,Ludwigia,Aquatic,,floating,aquatic
Melastomataceae,Melastomataceae,Tree/shrubs/lianas/herbs,0,terrestrial,andean_forest
Miconia,Miconia,Shrub,0,terrestrial,andean_forest
Monoleet.psilaat,unknown,unknown,,unkown,
Monolete._T42,unknown,unknown,,unkown,
Monolete.psilate,unknown,unknown,,unkown,
Monolete.scabrate,unknown,unknown,,unkown,
Myrica,Myrica,Tree,0,terrestrial,andean_forest
Myriophyllum,Myriophyllum,Aquatic,0,submerged,aquatic
Myrsine,Myrsine,Herb/shrub,0,terrestrial,paramo
Myrtaceae,Myrtaceae,Tree/shrub,0,terrestrial,paramo
Ophioglosum,Ophioglosum,Fern,0,terrestrial,
Pediastrum,Pediastrum,Algae,0,floating,aquatic
Pediastrum.grande.punteado,Pediastrum.sp1,Algae,0,floating,aquatic
Pinus,Pinus,Tree,0,terrestrial,andean_forest
Plantago.rigida,Plantago.rigida,Herb,0,terrestrial,paramo
Poaceae,Poaceae,Grass,0,terrestrial,paramo
Poaceae_Zea.mais,Zea.mays,Herb/shrub,1,terrestrial,
Podocarpus,Podocarpus,Tree,0,terrestrial,arboreal
Pollen.others,Pollen.others,unknown,0,unkown,
Polygonum,Polygonum,Aquatic,0,emergent,aquatic
Polylepis.Acaena,Polylepis,Tree,0,terrestrial,subparamo
Polypodium,Polypodium,Fern,0,terrestrial,
Potamogeton,Potamogeton,Aquatic,0,submerged,aquatic
Proteaceae,Proteaceae,Tree/shrub,0,terrestrial,andean_forest
Puya,Puya,Herb/epiphytic,0,terrestrial,paramo
