old,new,habitat,is_disturb,aquatic_habitat
Acalipha,Acalypha,Tree/shrub,0,terrestrial
Aceana.Polylepis,Polylepis,Tree,0,terrestrial
Alchornea,Alchornea,Tree/shrub,0,terrestrial
Alga.triangular.Staurastrum..Oligotrophic.,cf.Staurastrum,Algae,0,floating
Alnus,Alnus,Tree/shrub,1,terrestrial
Alsophyla,Alsophila,Fern,0,terrestrial
Amaranthaceae,Amaranthaceae,Herb,0,terrestrial
Anthostomella.feugiana,Anthostomella.feugiana,Fungi,0,terrestrial
Aragoa,Aragoa,unknown,0,unkown
Asteraceae_Ambrosia,Asteraceae.Ambrosia,Herb,1,terrestrial
Asteraceae_tub,Asteraceae.tub,Herb,1,terrestrial
Asteraceae.Asteroidea,Asteraceae.Asteroidea,Herb,1,terrestrial
Asteraceae.Liguliflora,Asteraceae.Liguliflora,Herb,1,terrestrial
Asteraceae.tub.,Asteraceae.tub,Herb,0,terrestrial
Borreria,Borreria,Herb/shrub,0,terrestrial
Botryoccocus,Botryoccocus,Algae,0,floating
Botryococcus,Botryoccocus,Algae,0,floating
Caryophyllaceae,Caryophyllaceae,Herb/shrub,0,terrestrial
Cecropia,Cecropia,shrubs/small trees/ weedy,1,terrestrial
Cercophora,Cercophora,Fungi,0,terrestrial
Cyathea,Cyathea,Fern,0,terrestrial
Cyathea.psilada,Cyathea,Fern,0,terrestrial
Cyatheaceae,Cyathea,Fern,0,terrestrial
Cyperaceae,Cyperaceae,Aquatic,0,emergent
Dodonea,Dodonea,Shrub,1,terrestrial
Draba,Draba,unknown,0,unkown
Elodea,Elodea,Aquatic,0,submerged
Elodea.tenue,Elodea.tenue,Aquatic,0,submerged
Ericaceae,Ericaceae,Shrub,0,terrestrial
Fungi,Fungi,Fungi,0,terrestrial
Geranium,Geranium,Tree/shrubs/lianas/herbs,0,terrestrial
Hediosmum,Hedyosmum,Tree,1,terrestrial
Hedyosmum,Hedyosmum,Tree,1,terrestrial
Hydrocotile,Hydrocotyle,Aquatic,0,emergent
Hydrocotyle,Hydrocotyle,Aquatic,0,emergent
Hymenophyllum,Hymenophyllum,Fern,0,terrestrial
Hypericum,Hypericum,Herb,0,terrestrial
Ilex,Ilex,Tree/shrub,0,terrestrial
Isoetes,Isoetes,Aquatic,0,submerged
Melastomataceae,Melastomataceae,Tree/shrubs/lianas/herbs,0,terrestrial
Miconia,Miconia,Shrub,0,terrestrial
Monoleet.psilaat,unknown,unknown,,unkown
Monolete._T42,unknown,unknown,,unkown
Monolete.psilate,unknown,unknown,,unkown
Monolete.scabrate,unknown,unknown,,unkown
Myrica,Myrica,Tree,0,terrestrial
Myriophyllum,Myriophyllum,Aquatic,0,submerged
Myrsine,Myrsine,Herb/shrub,0,terrestrial
Myrtaceae,Myrtaceae,Tree/shrub,0,terrestrial
Ophioglosum,Ophioglosum,Fern,0,terrestrial
Pediastrum,Pediastrum,Algae,0,floating
Pediastrum.grande.punteado,Pediastrum.sp1,Algae,0,floating
Pinus,Pinus,Tree,0,terrestrial
Plantago.rigida,Plantago.rigida,Herb,0,terrestrial
Poaceae,Poaceae,Grass,0,terrestrial
Poaceae_Zea.mais,Zea.mays,Herb/shrub,1,terrestrial
Podocarpus,Podocarpus,Tree,0,terrestrial
Pollen.others,Pollen.others,unknown,0,unkown
Polygonum,Polygonum,Aquatic,0,emergent
Polylepis.Acaena,Polylepis,Tree,0,terrestrial
Polypodium,Polypodium,Fern,0,terrestrial
Potamogeton,Potamogeton,Aquatic,0,submerged
Puya,Puya,Herb/epiphytic,0,terrestrial
Quercus,Quercus,Tree,0,terrestrial
Ranunculaceae,Ranunculaceae,Herb,0,terrestrial
Rumex,Rumex,semi aquatic herb,0,emergent
Satureja,Satureja,Herb,,terrestrial
Sordariaceae,Sordariaceae,Fungi,0,terrestrial
Spirogyra,Spirogyra,Algae,0,floating
Sporormiella,Sporormiella,Spores,0,unkown
Symplocos,Symplocos,Shrub,0,terrestrial
TF_01.Dodonaea,cf.Dodonaea,Shrub,0,terrestrial
TF_03.Rumex,cf.Rumex,semi aquatic herb,0,emergent
TF_04_Esférica.reticulada..Potamogetum.,cf.Potamogeton,Aquatic,0,submerged
TF_04_EsfÃ.rica.reticulada..Potamogetum.,cf.Potamogeton,Aquatic,0,submerged
TF_10_Rubiaceae.Psychotria,Psychotria,Tree/shrub,0,terrestrial
TF_17_C3ret,unknown,unknown,,unkown
Thalictrum,Thalictrum,Herb,0,terrestrial
Thecamoeba,Thecamoeba,Aquatic,0,unkown
Trilete.scabrate,unknown,unknown,,unkown
Typha,Typha,Aquatic,0,emergent
Umbelliferae,Umbelliferae,Aquatic,0,unkown
Urticaceae,Urticaceae,Herb,,terrestrial
Urticaceae.Moraceae,Urticaceae.Moraceae,Herb,0,terrestrial
Ustulina.deustans,Ustulina.deusta,Fungi,0,terrestrial
Valeriana,Valeriana,Herb,0,terrestrial
Weinmannia,Weinmannia,Tree/shrub,0,terrestrial
Zignemataceae,Zignemataceae,Algae,0,floating
Zygnema,Zygnema,Algae,0,floating
