old,new,habitat,is_disturb,aquatic_habitat
Acalipha,Acalypha,Tree/shrub,0,
Alchornea,Alchornea,Tree/shrub,0,
Alnus,Alnus,Tree/shrub,1,
Amaranthaceae,Amaranthaceae,Herb,0,
Anthostomella.feugiana,Anthostomella.feugiana,Fungi,0,
Aragoa,Aragoa,,0,
Asteraceae.Asteroidea,Asteraceae.Asteroidea,Herb,1,
Asteraceae.Liguliflora,Asteraceae.Liguliflora,Herb,1,
Asteraceae_Ambrosia,Asteraceae.Ambrosia,Herb,1,
Asteraceae_tub,Asteraceae.tub,Herb,1,
Borreria,Borreria,Herb/Shrub,0,
Caryophyllaceae,Caryophyllaceae,Herb/Shrub,0,
Cecropia,Cecropia,shrubs/small trees/ weedy,1,
Cercophora,Cercophora,Fungi,0,
Cyathea,Cyathea,Fern,0,
Cyperaceae,Cyperaceae,Aquatic,0,emergent
Dodonea,Dodonea,Shrub,1,
Draba,Draba,,0,
Elodea,Elodea,Aquatic,0,
Elodea.tenue,Elodea.tenue,Aquatic,0,
Ericaceae,Ericaceae,Shrub,0,
Geranium,Geranium,Tree/shrubs/lianas/herbs,0,
Hedyosmum,Hedyosmum,Tree,1,
Hydrocotyle,Hydrocotyle,Aquatic,0,unkown
Hypericum,Hypericum,Herb,0,
Ilex,Ilex,Tree/shrubs,0,
Isoetes,Isoetes,Spores,0,submerged
Melastomataceae,Melastomataceae,Tree/shrubs/lianas/herbs,0,
Miconia,Miconia,Shrub,0,
Myrica,Myrica,Trees,0,
Myriophyllum,Myriophyllum,Aquatic,0,submerged
Myrsine,Myrsine,Herbs/Shrubs,0,
Myrtaceae,Myrtaceae,Trees/shrubs,0,
Pinus,Pinus,Tree,0,
Plantago.rigida,Plantago.rigida,Herb,0,
Poaceae,Poaceae,Grass,0,
Podocarpus,Podocarpus,Tree,0,
Pollen.others,Pollen.others,,0,
Polygonum,Polygonum,Aquatic,0,emergent
Polylepis.Acaena,Polylepis,Tree,0,
Potamogeton,Potamogeton,Aquatic,0,submerged
Puya,Puya,Herb/epiphytic,0,
Quercus,Quercus,Tree,0,
Ranunculaceae,Ranunculaceae,Herb,0,
Rumex,Rumex,semi aquatic herb,0,
Sordariaceae,Sordariaceae,Fungi,0,
Spirogyra,Spirogyra,Algae,0,floating
Sporormiella,Sporormiella,Spores,0,
Symplocos,Symplocos,Shrub,0,
TF_01.Dodonaea,cf.Dodonaea,Shrub,0,
TF_03.Rumex,cf.Rumex,semi aquatic herb,0,
TF_04_EsfÃ.rica.reticulada..Potamogetum.,Potamogeton,Aquatic,0,
Thalictrum,Thalictrum,Herb,0,
Typha,Typha,Aquatic,0,emergent
Umbelliferae,Umbelliferae,Aquatic,0,unkown
Urticaceae.Moraceae,Urticaceae.Moraceae,Herb,0,
Ustulina.deustans,Ustulina.deusta,Fungi,0,
Valeriana,Valeriana,Herb,0,
Weinmannia,Weinmannia,Tree/Shrub,0,
Zygnema,Zygnema,algae,0,floating
