Site_Name;Region;Latitude;Longitude;C14_date;Error;Lab_Number;Material_Dated;Full Reference;;;;;;;;;;;;;;;;;;
Arroyo Seco 2;Pampas;-38,3605;-60,2441;12200;170;CAMS-58182;bone;Steele, J., Politis, G. (2009). AMS 14C dating of early human occupation of Southern South America. Journal of Archaeological Science, 37, 2017-2030.;;;;;;;;;;;;;;;;;;
Arroyo Seco 2;Pampas;-38,3605;-60,2441;12170;45;UCIAMS-142842;bone;"Politis, G..; Gutierrez;  D. Rafuse  M.; Blasi, A. 2016. The Arrival of Homo sapiens into the Southern Cone at 14,000 Years Ago. PLoS ONE 11 (9): e0162870";;;;;;;;;;;;;;;;;;
Arroyo Seco 2;Pampas;-38,3605;-60,2441;12170;55;OxA-15871;bone;Steele, J., Politis, G. (2009). AMS 14C dating of early human occupation of Southern South America. Journal of Archaeological Science, 37, 2017-2030.;;;;;;;;;;;;;;;;;;
Arroyo Seco 2;Pampas;-38,3605;-60,2441;12155;70;OxA-10387;bone;Steele, J., Politis, G. (2009). AMS 14C dating of early human occupation of Southern South America. Journal of Archaeological Science, 37, 2017-2030.;;;;;;;;;;;;;;;;;;
Arroyo Seco 2;Pampas;-38,3605;-60,2441;12070;140;OxA-9243;bone;"Politis, G..; Gutierrez;  D. Rafuse  M.; Blasi, A. 2016. The Arrival of Homo sapiens into the Southern Cone at 14,000 Years Ago. PLoS ONE 11 (9): e0162870";;;;;;;;;;;;;;;;;;
Arroyo Seco 2;Pampas;-38,3605;-60,2441;11770;120;AA-62514;bone;Steele, J., Politis, G. (2009). AMS 14C dating of early human occupation of Southern South America. Journal of Archaeological Science, 37, 2017-2030.;;;;;;;;;;;;;;;;;;
Arroyo Seco 2;Pampas;-38,3605;-60,2441;11750;70;CAMS-1638;bone;Steele, J., Politis, G. (2009). AMS 14C dating of early human occupation of Southern South America. Journal of Archaeological Science, 37, 2017-2030.;;;;;;;;;;;;;;;;;;
Arroyo Seco 2;Pampas;-38,3605;-60,2441;11730;70;OxA-924;bone;Steele, J., Politis, G. (2009). AMS 14C dating of early human occupation of Southern South America. Journal of Archaeological Science, 37, 2017-2030.;;;;;;;;;;;;;;;;;;
Arroyo Seco 2;Pampas;-38,3605;-60,2441;11590;90;AA-7965;bone;Steele, J., Politis, G. (2009). AMS 14C dating of early human occupation of Southern South America. Journal of Archaeological Science, 37, 2017-2030.;;;;;;;;;;;;;;;;;;
Arroyo Seco 2;Pampas;-38,3605;-60,2441;11320;110;AA-39365;bone;Steele, J., Politis, G. (2009). AMS 14C dating of early human occupation of Southern South America. Journal of Archaeological Science, 37, 2017-2030.;;;;;;;;;;;;;;;;;;
Arroyo Seco 2;Pampas;-38,3605;-60,2441;11250;105;AA-7964;bone;Steele, J., Politis, G. (2009). AMS 14C dating of early human occupation of Southern South America. Journal of Archaeological Science, 37, 2017-2030.;;;;;;;;;;;;;;;;;;
Arroyo Seco 2;Pampas;-38,3605;-60,2441;11190;110;AA-90118;bone;Steele, J., Politis, G. (2009). AMS 14C dating of early human occupation of Southern South America. Journal of Archaeological Science, 37, 2017-2030.;;;;;;;;;;;;;;;;;;
Cerro La China 2;Pampas;-37,95;-58,616667;11150;135;AA-8955;charcoal;Flegenheimer, N., Zarate, M. (1997). Considerations on radiocarbon and calibrated dates from Cerro La China and Cerro El Sombrero, Argetina. Current Research in the Pleistocene, 14, 27-28.;;;;;;;;;;;;;;;;;;
Cerro Tres Tetas 1;Pat ;-48,149444;-68,933;11145;60;OxA-10745;charcoal;Steele, J., Politis, G. (2009). AMS 14C dating of early human occupation of Southern South America. Journal of Archaeological Science, 37, 2017-2030.;;;;;;;;;;;;;;;;;;
Cerro Tres Tetas 1;Pat ;-48,149444;-68,933;11100;150;AA-22233;charcoal;Miotti, L., Salemme, M. C. (2003). When Patagonia was colonized: people mobility at high latitudes during Pleistocene-Holocene transition. Quaternary International, 109, 95-111.;;;;;;;;;;;;;;;;;;
Cerro Tres Tetas 1;Pat ;-48,149444;-68,933;11015;66;AA-39368;charcoal;Miotti, L., Salemme, M. C. (2003). When Patagonia was colonized: people mobility at high latitudes during Pleistocene-Holocene transition. Quaternary International, 109, 95-111.;;;;;;;;;;;;;;;;;;
El Alto 3;Pampas;-31,3988;-64,7388;11010;80;LP - 1506;charcoal;Lima-Ribeiro, M. S., Diniz-Filho, J. A. F. (2013). American megafaunal extinctions and human arrival: improved evaluation using a meta-analytic approach. Quaternary International, 299, 38-52.;;;;;;;;;;;;;;;;;;
Arroyo Seco 2;Pampas;-38,3605;-60,2441;11000;100;OXA-4590;bone;Steele, J., Politis, G. (2009). AMS 14C dating of early human occupation of Southern South America. Journal of Archaeological Science, 37, 2017-2030.;;;;;;;;;;;;;;;;;;
Piedra Museo AEP-1;Pat ;-47,895;-67,867778;11000;65;AA-27950;charcoal;Miotti, L. L., Salemme, M., Flegenheimer, N. (2003). Where the south winds blow: ancient evidence of paleo-south Americans. College Station, USA: Texas A&M University Press.;;;;;;;;;;;;;;;;;;
Casa del Minero;Pat ;-48,576;-68,9125;10999;55;AA37207;charcoal;Paunero, R. (2003). The presence of a Pleistocene colonizing culture in La Maria archaeological locality: Casa del Minero 1. In: Where the south winds blow: ancient evidence of Paleo South America (Eds. Miotti, L., Salemme, M., Flegenheimer, N.). College Station: Texas A&M University, Center for the Study of the First Americans, pp 127-132.;;;;;;;;;;;;;;;;;;
Casa del Minero;Pat ;-48,576;-68,9125;10967;55;AA37208;charcoal;Paunero, R. (2003). The presence of a Pleistocene colonizing culture in La Maria archaeological locality: Casa del Minero 1. In: Where the south winds blow: ancient evidence of Paleo South America (Eds. Miotti, L., Salemme, M., Flegenheimer, N.). College Station: Texas A&M University, Center for the Study of the First Americans, pp 127-132.;;;;;;;;;;;;;;;;;;
Agua de la Cueva;S. Andes;-32,616;-69,15;10950;90;Beta-61409;charcoal;Paez, M. M., Zarate, M., Mancini, M. V., Prieto, A. (2003). Paleoenvironments during the Pleistocene-Holocene transition in southern South America, Argentina. In: Where the South Winds Blow. (Eds: Miotti, L., Salemme, M., Flegenheimer, N.). Center for the Study of the First Americans, Texas A&M University Press, College Station, pp 121-125.;;;;;;;;;;;;;;;;;;
