"","depth","upper_age","lower_age","TIC_percent","N_percent","C_percent","TOC_percent","TC_TN","d13C","LOI375","sand","coarsesilt","finesilt","clay"
"1",167,27100.22,27318.08,0,0.6,5.9,5.9,9.83,-20.98,0.0816081165791769,0.121468609652948,0.484776794072635,0.0897298652668304,0.222416614428409
"2",172,27318.08,27535.95,0,0.54,5.24,5.24,9.7,-21.48,0.138901248094715,0.0390987519052846,0.427347711826355,0.0320041603157182,0.362648127857927
"3",177,27535.95,27753.81,0,0.52,4.87,4.87,9.37,-21.52,0.163575969292862,0.11811474290966,0.40187353470138,0.0237662309269334,0.292662083033952
"4",182,27753.81,27971.68,0,0.72,7.76,7.76,10.78,-19.9,0.154455147656962,0.0990730275645356,0.399153289652077,0.0402477156374188,0.306903365939129
"5",187,27971.68,28189.54,0,0.44,4.24,4.24,9.64,-20.51,0.145333907365888,0.0800304381849243,0.396432919740703,0.0567299568651495,0.321145302533964
"6",192,28189.54,28407.41,0,0.74,8.37,8.37,11.31,-19.1,0.136213085729988,0.0609887228398004,0.3937126746914,0.0732114415756349,0.335386585439141
"7",197,28407.41,29932.46,0,0.75,8.45,8.45,11.27,-19.01,0.127091845438914,0.0419461334601892,0.390992304780027,0.0896936828033657,0.349628522033976
"8",232,29932.46,30150.33,0,0.83,9.7,9.7,11.69,-19.2,0.0854316116686505,0.13955926192097,0.449635262232802,0.325373864177578,0
"9",237,30150.33,30368.19,0,0.87,10.22,10.22,11.75,-19.75,0.0720776815207173,0.328631881923034,0.352665507804745,0.246624928751504,0
"10",242,30368.19,30586.06,0,0.68,7.56,7.56,11.12,-21.37,0.0599669176942491,0.304146682014029,0.394103623640952,0.241782776650769,0
"11",247,30586.06,30803.92,0,0.53,5.69,5.69,10.74,-22.77,0.0890846101972465,0.0435922713807257,0.451718454276145,0.110535376315594,0.304252365790839
"12",252,30803.92,31021.79,0,0.47,4.84,4.84,10.3,-22.48,0.0958234960334069,0.0365879682672553,0.381706583298455,0.141234392901987,0.345471055532303
"13",257,31021.79,31239.65,0,0.27,2.69,2.69,9.96,-22.71,0.103320634842197,0.073923809053182,0.317114286420227,0.139392380905318,0.366713015747515
"14",262,31239.65,31457.52,0,0.52,5.24,5.24,10.08,-22.82,0.110418180315564,0.0895136021790776,0.266654557475489,0.137745459053308,0.394877291134343
"15",267,31457.52,31675.38,0,0.54,5.45,5.45,10.09,-22.88,0.15417366485219,0.0104324636685927,0.321038592189376,0.15145175976328,0.362903519526561
"16",272,31675.38,31893.25,0,0.57,5.85,5.85,10.26,-22.79,0.122398315382756,0.028372872529066,0.390618704384715,0.0932288120881777,0.364995701659373
