"negAge","deriv_mean_lower","deriv_sd_lower","deriv_mean_upper","deriv_sd_upper","deriv_mean_med","deriv_sd_med"
-244300.45,-3.13283564387645e-06,3.63018860514101e-06,3.26631029409774e-06,9.860350566995e-06,2.35264556447401e-07,6.39555244436773e-06
-243278.291004184,-2.73651631313432e-06,3.43190339740601e-06,3.76633916628066e-06,1.03151178849301e-05,8.13515817210675e-07,6.9412300723527e-06
-242256.132008368,-2.31330408109742e-06,4.63319835534312e-06,4.47414961006476e-06,1.13552079781576e-05,1.34135180379635e-06,7.95605399922041e-06
-241233.973012552,-1.7121778221052e-06,5.62427556277942e-06,4.91770899248289e-06,1.26474501570191e-05,1.63211192616419e-06,9.04423670384405e-06
-240211.814016736,-1.67298058209586e-06,6.67976909920806e-06,5.08073170904511e-06,1.32532543769709e-05,1.75975580107846e-06,9.93966329662113e-06
-239189.655020921,-1.6374559707738e-06,7.14026097596292e-06,4.94554670361913e-06,1.37140285725833e-05,1.66691329128721e-06,1.03891054068793e-05
-238167.496025105,-1.72740589106379e-06,7.45463228537869e-06,4.77425776200524e-06,1.36630753248326e-05,1.51440822909743e-06,1.06165655219111e-05
-237145.337029289,-1.94786848560502e-06,7.27486033099313e-06,4.18124087235572e-06,1.37426916960865e-05,1.04874109868591e-06,1.0427387720965e-05
-236123.178033473,-2.18402924066774e-06,6.73386770210088e-06,3.56402095644248e-06,1.32892959220053e-05,5.5761852357783e-07,9.69657653048843e-06
-235101.019037657,-2.9424663293004e-06,6.12536989696479e-06,2.82750034957813e-06,1.24094276297005e-05,-2.7555412673852e-08,8.89483592915911e-06
-234078.860041841,-3.70726595540216e-06,5.07908702437502e-06,2.5399559973327e-06,1.13535770933972e-05,-6.42319393506785e-07,8.01668676620406e-06
-233056.701046025,-4.34889555621376e-06,4.89877851539293e-06,2.02998602343019e-06,1.03773612413928e-05,-1.21270041064658e-06,7.36240548716006e-06
-232034.542050209,-4.96559365804894e-06,4.39551149172538e-06,1.6206214043385e-06,9.61725619014315e-06,-1.88044122079178e-06,7.05957183998097e-06
-231012.383054393,-5.55883704586591e-06,3.98183540897292e-06,1.15776749991248e-06,9.95452351420181e-06,-2.38605764341093e-06,7.13311232911039e-06
-229990.224058577,-5.96179727208046e-06,4.49232569548482e-06,9.38990207519087e-07,1.07681456194237e-05,-2.63265914429711e-06,7.52174037347405e-06
-228968.065062762,-6.26387982610721e-06,4.62674771699321e-06,7.41450726718385e-07,1.17729751606093e-05,-2.7387015813507e-06,8.30738367819503e-06
-227945.906066946,-6.2134055272417e-06,5.08642205265615e-06,5.74738133515829e-07,1.2871352956436e-05,-2.68820666199376e-06,9.11024876435228e-06
-226923.74707113,-5.84345617088422e-06,5.84870915457326e-06,5.21998976085736e-07,1.37309122778268e-05,-2.49786456685275e-06,9.85580312523463e-06
-225901.588075314,-5.22295371720161e-06,6.80592312061385e-06,9.28738306371637e-07,1.44440622008977e-05,-2.02771120366707e-06,1.0386982022529e-05
-224879.429079498,-4.40489760954177e-06,7.25646913520148e-06,1.53361567309385e-06,1.49273683232288e-05,-1.44127407841754e-06,1.10000752027477e-05
-223857.270083682,-3.96995997960226e-06,7.69338043377685e-06,2.37725295486324e-06,1.49575031848716e-05,-8.47243508683704e-07,1.14271033071394e-05
-222835.111087866,-3.45550662195215e-06,7.77861464223881e-06,3.27209825390362e-06,1.53864897899535e-05,-1.64717030570749e-07,1.16079781331675e-05
-221812.95209205,-2.66370462100041e-06,7.69486123148228e-06,4.06511331740855e-06,1.53578936577559e-05,6.14703248025261e-07,1.15143333553532e-05
