"negAge","deriv_mean_lower","deriv_sd_lower","deriv_mean_upper","deriv_sd_upper","deriv_mean_med","deriv_sd_med"
-244300.45,-1.77085362208854e-05,5.24897754032242e-05,2.71776167116928e-05,9.16169347959338e-05,1.98613063176478e-06,6.94204515208714e-05
-243278.291004184,-1.76690791407769e-05,5.28927845350332e-05,2.65647934929725e-05,9.18158947012952e-05,1.3406275619493e-06,6.94059650071078e-05
-242256.132008368,-1.81019637256735e-05,5.29678993787416e-05,2.55012546914561e-05,9.25084157130936e-05,6.54902482157688e-07,6.91834224394376e-05
-241233.973012552,-1.93024220050773e-05,5.30666246130256e-05,2.49883931229267e-05,9.27406923772565e-05,-1.06103744540453e-08,6.90479937774453e-05
-240211.814016736,-1.96584231865922e-05,5.30237879912775e-05,2.45777917802677e-05,9.29649101832832e-05,-3.11863854254857e-07,6.93969778274293e-05
-239189.655020921,-1.97519480696733e-05,5.31224037082712e-05,2.41839980634311e-05,9.29160753304053e-05,-3.38736830252095e-07,6.9603719554846e-05
-238167.496025105,-2.05061212006485e-05,5.29143549380295e-05,2.40096483157017e-05,9.26491767287621e-05,-1.23477511659864e-06,7.00306584280971e-05
-237145.337029289,-2.09959731115716e-05,5.24933107009098e-05,2.38464788575657e-05,9.25052174704779e-05,-1.29636148198109e-06,7.04640963276818e-05
-236123.178033473,-2.14272295847341e-05,5.30553209569909e-05,2.36982514078381e-05,9.27514436765252e-05,-1.25167114388425e-06,7.07658107140058e-05
-235101.019037657,-2.16729363872875e-05,5.33467724121533e-05,2.36880817011953e-05,9.32567242710759e-05,-1.28122758912691e-06,7.09132528061045e-05
-234078.860041841,-2.20891241212266e-05,5.33021102001986e-05,2.34489782756078e-05,9.36256331817314e-05,-1.34254033896941e-06,7.11707599810901e-05
-233056.701046025,-2.23345068415693e-05,5.3112418314377e-05,2.29875219819537e-05,9.35888954788322e-05,-1.63512839199131e-06,7.10618315055212e-05
-232034.542050209,-2.22898752444897e-05,5.26585803609822e-05,2.28349718168043e-05,9.35057753442216e-05,-1.61913954049853e-06,7.11705267802256e-05
-231012.383054393,-2.24243534449496e-05,5.22749920012475e-05,2.28300159033678e-05,9.35141085576557e-05,-1.82374694325527e-06,7.10579345848896e-05
-229990.224058577,-2.2586370954778e-05,5.19775865944103e-05,2.29513455077233e-05,9.34008982091445e-05,-1.78489348960642e-06,7.08276942515347e-05
-228968.065062762,-2.24793580307029e-05,5.22459220237813e-05,2.30791649433381e-05,9.31768780302859e-05,-1.94184799214361e-06,7.06531397199226e-05
