"negAge","deriv_mean_lower","deriv_sd_lower","deriv_mean_upper","deriv_sd_upper","deriv_mean_med","deriv_sd_med"
-244300.45,2.48739893222377e-05,8.65420864290346e-05,3.12986127272738e-05,9.39617286086002e-05,2.76510199872762e-05,9.02414710586035e-05
-243072.831909548,2.48654962727756e-05,7.62467824763204e-05,3.10404322553649e-05,8.34002991842061e-05,2.7740051168469e-05,8.01011053184747e-05
-241845.213819095,2.37843115078986e-05,6.56381055858023e-05,3.00948981936234e-05,7.21471311043998e-05,2.69944322981195e-05,6.91084794578949e-05
-240617.595728643,2.15702788755292e-05,5.6097519903842e-05,2.8435823309821e-05,6.24991749834461e-05,2.5147227058733e-05,5.92842665671337e-05
-239389.977638191,1.89304185274476e-05,4.98843563308771e-05,2.58281392722289e-05,5.5987131743047e-05,2.24626877000213e-05,5.29153743759033e-05
-238162.359547739,1.52721955662713e-05,4.87439274302994e-05,2.25356959177334e-05,5.5152921753174e-05,1.9126913265567e-05,5.18370485344611e-05
-236934.741457286,1.08020459329345e-05,5.25801622230731e-05,1.84134338143528e-05,5.88168760428446e-05,1.50554997203746e-05,5.54340129219616e-05
-235707.123366834,6.07675722138428e-06,5.9105992377562e-05,1.40243666546525e-05,6.56303441204676e-05,1.04506880131231e-05,6.21052020978504e-05
-234479.505276382,8.23059814793655e-07,6.5769933883552e-05,9.14059591063573e-06,7.31020088210881e-05,5.19567100886063e-06,6.89849754871693e-05
-233251.88718593,-4.54009135051552e-06,7.16463591182786e-05,3.61775263269896e-06,7.88853169307305e-05,-1.55250529253347e-07,7.50345697297682e-05
-232024.269095477,-9.58812666911366e-06,7.5037331361156e-05,-1.57617239161646e-06,8.22881985506004e-05,-5.4887095852897e-06,7.83926335648389e-05
-230796.651005025,-1.4499648195574e-05,7.57777868442635e-05,-7.30786120879524e-06,8.32062683569402e-05,-1.07299084108522e-05,7.93457640184749e-05
-229569.032914573,-1.91439187509048e-05,7.45814879710872e-05,-1.23947146408161e-05,8.13780947053823e-05,-1.55532966086527e-05,7.77713129530872e-05
-228341.414824121,-2.32144665315693e-05,7.12833942073011e-05,-1.70770250967823e-05,7.77643685068143e-05,-1.9942419508349e-05,7.4399887858721e-05
-227113.796733668,-2.6985399830907e-05,6.67456905094514e-05,-2.10827813080185e-05,7.28472905080789e-05,-2.38711105999329e-05,6.98708119859558e-05
-225886.178643216,-3.00554556652211e-05,6.22707643533691e-05,-2.44267683581721e-05,6.8243409358361e-05,-2.71821423493258e-05,6.53814783878186e-05
-224658.560552764,-3.25327436000167e-05,5.89977873118239e-05,-2.68669781520089e-05,6.5091673946822e-05,-2.97662696480436e-05,6.22955786359353e-05
-223430.942462312,-3.47893421577307e-05,5.79202842220537e-05,-2.85767752529321e-05,6.44516385268946e-05,-3.16394704365076e-05,6.12337595390116e-05
-222203.324371859,-3.62639978986712e-05,5.93195511138681e-05,-2.94253437406929e-05,6.57295316500471e-05,-3.28152341309377e-05,6.25939431379923e-05
-220975.706281407,-3.67060507634588e-05,6.30383782083896e-05,-2.95213229495482e-05,6.95587482559192e-05,-3.32593176246812e-05,6.62619077146054e-05
-219748.088190955,-3.64406302230669e-05,6.82227044600977e-05,-2.88689745529967e-05,7.49343876489351e-05,-3.28701028957163e-05,7.16746387460248e-05
-218520.470100503,-3.57649509219383e-05,7.35191124561998e-05,-2.7835252104901e-05,8.06045512334986e-05,-3.17652592046438e-05,7.72560710668721e-05
-217292.85201005,-3.42846055527115e-05,7.86239612374388e-05,-2.62348642508175e-05,8.56257148295662e-05,-2.99902624297737e-05,8.21354046917799e-05
-216065.233919598,-3.17634752166402e-05,8.25741732786717e-05,-2.4041778742175e-05,8.94055060003236e-05,-2.75842711036953e-05,8.6082892211241e-05
-214837.615829146,-2.85247408235819e-05,8.507860375832e-05,-2.11088187136181e-05,9.16368927925697e-05,-2.45305275555404e-05,8.84574569716238e-05
-213609.997738693,-2.45776306911145e-05,8.55512076803725e-05,-1.77067001478795e-05,9.21580690147755e-05,-2.1089482112355e-05,8.90017546896808e-05
-212382.379648241,-2.06351009388271e-05,8.44827544113602e-05,-1.39591233150712e-05,9.09187181096977e-05,-1.72079661806916e-05,8.79696169521326e-05
-211154.761557789,-1.60784344675603e-05,8.20094434974018e-05,-9.76586236466148e-06,8.82793752662248e-05,-1.30181668300194e-05,8.51838332567311e-05
-209927.143467337,-1.15570748500845e-05,7.79221398671752e-05,-5.224197397527e-06,8.45325745654402e-05,-8.63992611328647e-06,8.11527693743435e-05
-208699.525376884,-7.26389610717421e-06,7.30471783608453e-05,-6.62718809737079e-07,7.95316117193645e-05,-4.35571366058651e-06,7.60499718028762e-05
-207471.907286432,-3.17777850919157e-06,6.71085716020184e-05,3.59206978577726e-06,7.32424708775438e-05,5.79697353391633e-08,7.00402150784693e-05
-206244.28919598,1.16467859169467e-06,6.04871888316745e-05,7.92646771617975e-06,6.6492542075798e-05,4.37072187254368e-06,6.32428562618176e-05
